subject,session,task,stimulus_label,n_present_channels,dense_file,band_file,meta_file,n_kept_windows,n_dropped_windows,status
sub-01,ses-01,task-dme_run-01,Despicable Me (English),60,/Users/hyung/data/natview_project/derived/natview_eeg_features_master61_masked_5s/sub-01/ses-01/task-dme_run-01/dense_psd_10s_2to30Hz_welch_master61_masked.npz,/Users/hyung/data/natview_project/derived/natview_eeg_features_master61_masked_5s/sub-01/ses-01/task-dme_run-01/bandpower_10s_delta_theta_alpha_beta_master61_masked.npz,/Users/hyung/data/natview_project/derived/natview_eeg_features_master61_masked_5s/sub-01/ses-01/task-dme_run-01/run_meta_master61_masked.json,111,6,ok
sub-01,ses-01,task-dme_run-02,Despicable Me (English),60,/Users/hyung/data/natview_project/derived/natview_eeg_features_master61_masked_5s/sub-01/ses-01/task-dme_run-02/dense_psd_10s_2to30Hz_welch_master61_masked.npz,/Users/hyung/data/natview_project/derived/natview_eeg_features_master61_masked_5s/sub-01/ses-01/task-dme_run-02/bandpower_10s_delta_theta_alpha_beta_master61_masked.npz,/Users/hyung/data/natview_project/derived/natview_eeg_features_master61_masked_5s/sub-01/ses-01/task-dme_run-02/run_meta_master61_masked.json,99,14,ok
sub-01,ses-01,task-inscapes,Inscapes,60,/Users/hyung/data/natview_project/derived/natview_eeg_features_master61_masked_5s/sub-01/ses-01/task-inscapes/dense_psd_10s_2to30Hz_welch_master61_masked.npz,/Users/hyung/data/natview_project/derived/natview_eeg_features_master61_masked_5s/sub-01/ses-01/task-inscapes/bandpower_10s_delta_theta_alpha_beta_master61_masked.npz,/Users/hyung/data/natview_project/derived/natview_eeg_features_master61_masked_5s/sub-01/ses-01/task-inscapes/run_meta_master61_masked.json,118,9,ok
sub-01,ses-01,task-monkey1_run-01,Monkey 1,60,/Users/hyung/data/natview_project/derived/natview_eeg_features_master61_masked_5s/sub-01/ses-01/task-monkey1_run-01/dense_psd_10s_2to30Hz_welch_master61_masked.npz,/Users/hyung/data/natview_project/derived/natview_eeg_features_master61_masked_5s/sub-01/ses-01/task-monkey1_run-01/bandpower_10s_delta_theta_alpha_beta_master61_masked.npz,/Users/hyung/data/natview_project/derived/natview_eeg_features_master61_masked_5s/sub-01/ses-01/task-monkey1_run-01/run_meta_master61_masked.json,53,5,ok
sub-01,ses-01,task-monkey1_run-02,Monkey 1,60,/Users/hyung/data/natview_project/derived/natview_eeg_features_master61_masked_5s/sub-01/ses-01/task-monkey1_run-02/dense_psd_10s_2to30Hz_welch_master61_masked.npz,/Users/hyung/data/natview_project/derived/natview_eeg_features_master61_masked_5s/sub-01/ses-01/task-monkey1_run-02/bandpower_10s_delta_theta_alpha_beta_master61_masked.npz,/Users/hyung/data/natview_project/derived/natview_eeg_features_master61_masked_5s/sub-01/ses-01/task-monkey1_run-02/run_meta_master61_masked.json,59,2,ok
sub-01,ses-01,task-tp_run-01,The Present,60,/Users/hyung/data/natview_project/derived/natview_eeg_features_master61_masked_5s/sub-01/ses-01/task-tp_run-01/dense_psd_10s_2to30Hz_welch_master61_masked.npz,/Users/hyung/data/natview_project/derived/natview_eeg_features_master61_masked_5s/sub-01/ses-01/task-tp_run-01/bandpower_10s_delta_theta_alpha_beta_master61_masked.npz,/Users/hyung/data/natview_project/derived/natview_eeg_features_master61_masked_5s/sub-01/ses-01/task-tp_run-01/run_meta_master61_masked.json,46,6,ok
sub-01,ses-01,task-tp_run-02,The Present,60,/Users/hyung/data/natview_project/derived/natview_eeg_features_master61_masked_5s/sub-01/ses-01/task-tp_run-02/dense_psd_10s_2to30Hz_welch_master61_masked.npz,/Users/hyung/data/natview_project/derived/natview_eeg_features_master61_masked_5s/sub-01/ses-01/task-tp_run-02/bandpower_10s_delta_theta_alpha_beta_master61_masked.npz,/Users/hyung/data/natview_project/derived/natview_eeg_features_master61_masked_5s/sub-01/ses-01/task-tp_run-02/run_meta_master61_masked.json,42,7,ok
sub-02,ses-01,task-dme_run-01,Despicable Me (English),60,/Users/hyung/data/natview_project/derived/natview_eeg_features_master61_masked_5s/sub-02/ses-01/task-dme_run-01/dense_psd_10s_2to30Hz_welch_master61_masked.npz,/Users/hyung/data/natview_project/derived/natview_eeg_features_master61_masked_5s/sub-02/ses-01/task-dme_run-01/bandpower_10s_delta_theta_alpha_beta_master61_masked.npz,/Users/hyung/data/natview_project/derived/natview_eeg_features_master61_masked_5s/sub-02/ses-01/task-dme_run-01/run_meta_master61_masked.json,86,30,ok
sub-02,ses-01,task-dme_run-02,Despicable Me (English),59,/Users/hyung/data/natview_project/derived/natview_eeg_features_master61_masked_5s/sub-02/ses-01/task-dme_run-02/dense_psd_10s_2to30Hz_welch_master61_masked.npz,/Users/hyung/data/natview_project/derived/natview_eeg_features_master61_masked_5s/sub-02/ses-01/task-dme_run-02/bandpower_10s_delta_theta_alpha_beta_master61_masked.npz,/Users/hyung/data/natview_project/derived/natview_eeg_features_master61_masked_5s/sub-02/ses-01/task-dme_run-02/run_meta_master61_masked.json,93,24,ok
sub-02,ses-01,task-inscapes,Inscapes,60,/Users/hyung/data/natview_project/derived/natview_eeg_features_master61_masked_5s/sub-02/ses-01/task-inscapes/dense_psd_10s_2to30Hz_welch_master61_masked.npz,/Users/hyung/data/natview_project/derived/natview_eeg_features_master61_masked_5s/sub-02/ses-01/task-inscapes/bandpower_10s_delta_theta_alpha_beta_master61_masked.npz,/Users/hyung/data/natview_project/derived/natview_eeg_features_master61_masked_5s/sub-02/ses-01/task-inscapes/run_meta_master61_masked.json,120,21,ok
